sequence,offset,conf,x1,y1,x2,y2,W,H,tile_x0,tile_y0
20160604_FIRE_rm-n-mobo-c,1800,0.3011,1881.2,809.6,1919.6,867.1,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1800,0.3339,1881.1,809.8,1919.6,867.0,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1860,0.3634,1875.9,814.6,1919.8,865.5,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1860,0.4287,1875.9,814.8,1919.8,865.5,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1920,0.1482,1875.5,791.7,1919.5,865.6,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1920,0.1831,1875.4,792.3,1919.6,865.7,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,1980,0.3343,1869.5,791.9,1920.0,865.2,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,1980,0.3631,1869.4,792.4,1920.0,865.2,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,2040,0.3143,1872.0,820.7,1919.9,867.8,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,2040,0.3867,1871.7,820.9,1919.9,867.7,2048,1536,896,512
20160604_FIRE_rm-n-mobo-c,2100,0.1601,1869.3,808.9,1919.6,866.0,2048,1536,896,0
20160604_FIRE_rm-n-mobo-c,2100,0.2606,1868.7,813.6,1920.0,865.2,2048,1536,896,512
20160604_FIRE_smer-tcs3-mobo-c,0,0.2650,2015.3,828.1,2073.4,856.5,3072,2048,1792,0
20160604_FIRE_smer-tcs3-mobo-c,0,0.1159,2048.0,825.6,2072.7,857.8,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,60,0.2406,1911.5,810.7,1920.0,854.2,3072,2048,896,0
20160604_FIRE_smer-tcs3-mobo-c,60,0.5387,1915.5,790.1,2136.9,861.8,3072,2048,1792,0
20160604_FIRE_smer-tcs3-mobo-c,60,0.6756,2048.3,803.9,2138.7,865.8,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,120,0.5943,1854.4,770.5,1919.8,860.4,3072,2048,896,0
20160604_FIRE_smer-tcs3-mobo-c,120,0.3977,1966.7,700.0,2167.1,869.9,3072,2048,1792,0
20160604_FIRE_smer-tcs3-mobo-c,120,0.3194,1855.9,701.3,2180.6,868.2,3072,2048,1792,0
20160604_FIRE_smer-tcs3-mobo-c,120,0.6411,2048.9,692.5,2166.7,870.7,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,180,0.5794,1830.5,781.7,1920.0,861.2,3072,2048,896,0
20160604_FIRE_smer-tcs3-mobo-c,360,0.1578,2048.4,786.0,2130.0,864.0,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,900,0.1358,2048.1,809.7,2116.4,864.9,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,900,0.1322,2048.0,809.3,2161.4,866.6,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,960,0.1195,2051.8,765.7,2125.8,864.2,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1020,0.3689,2048.9,789.9,2129.6,865.1,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1080,0.2448,2069.4,820.8,2161.5,865.6,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1200,0.4782,2062.8,812.9,2157.3,866.9,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1320,0.1184,1429.1,565.6,1854.8,946.5,3072,2048,896,0
20160604_FIRE_smer-tcs3-mobo-c,1320,0.1059,1465.8,526.7,1920.0,943.8,3072,2048,896,0
20160604_FIRE_smer-tcs3-mobo-c,1320,0.3421,2048.4,810.9,2156.2,868.9,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1620,0.1793,2048.3,828.8,2080.5,860.5,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1680,0.3564,2048.0,821.0,2090.5,862.4,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1740,0.1231,2048.2,781.4,2092.0,861.8,3072,2048,2048,0
20160604_FIRE_smer-tcs3-mobo-c,1980,0.1104,2048.3,839.4,2078.1,860.6,3072,2048,2048,0
20160619_FIRE_lp-e-iqeye,240,0.2569,1549.5,535.4,1585.4,562.0,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,240,0.2323,1549.7,535.5,1585.3,561.9,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,360,0.1499,1529.5,530.3,1595.9,562.6,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,360,0.1105,1529.6,530.2,1596.9,562.7,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,480,0.4836,1514.5,525.0,1585.4,561.1,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,480,0.4877,1514.6,525.3,1585.3,561.0,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,600,0.5001,1504.7,521.3,1583.9,561.9,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,600,0.1745,1519.4,526.9,1582.6,561.9,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,600,0.4767,1505.3,518.8,1583.8,561.9,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,600,0.1659,1518.6,526.8,1582.3,561.9,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,720,0.4060,1505.5,507.6,1584.6,562.0,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,720,0.2000,1513.8,527.2,1585.0,561.5,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,720,0.1817,1532.5,528.9,1582.2,561.4,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,720,0.3952,1505.9,507.7,1584.3,562.0,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,720,0.1931,1513.0,526.9,1584.8,561.5,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,720,0.1631,1531.4,528.8,1582.0,561.4,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,840,0.2707,1511.0,517.7,1587.5,562.1,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,840,0.1896,1528.7,526.5,1585.3,561.7,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,840,0.1487,1498.5,504.9,1590.5,562.1,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,840,0.2828,1508.3,516.2,1587.6,562.0,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,840,0.1848,1517.3,524.9,1588.9,561.3,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,840,0.1667,1499.4,505.1,1590.5,562.2,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1200,0.2798,1478.3,507.9,1577.9,562.4,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1200,0.2843,1479.7,508.2,1577.6,562.3,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1320,0.2127,1546.4,529.3,1569.7,561.4,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1320,0.1789,1521.6,504.2,1576.0,562.2,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1320,0.1147,1479.2,503.0,1577.6,562.4,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1320,0.2089,1521.7,504.3,1574.1,561.6,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1320,0.1685,1546.9,529.5,1569.1,561.2,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1320,0.1130,1492.3,503.2,1574.2,562.0,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1560,0.2927,1515.4,496.2,1575.7,562.2,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1560,0.1363,1537.9,533.6,1572.0,562.1,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1560,0.2841,1516.1,496.3,1574.4,561.9,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1680,0.3561,1536.7,534.5,1580.4,562.1,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1680,0.2897,1498.1,497.1,1583.8,562.5,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1680,0.3016,1537.4,534.9,1580.3,562.0,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1680,0.2887,1498.7,497.3,1583.5,562.3,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1800,0.3513,1523.4,529.5,1580.9,562.3,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1800,0.1978,1523.2,529.5,1580.4,562.2,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,1920,0.5084,1523.3,529.1,1575.8,561.5,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,1920,0.4444,1523.5,529.2,1575.6,561.5,1600,1200,576,176
20160619_FIRE_lp-e-iqeye,2400,0.2995,1519.9,528.5,1567.7,561.4,1600,1200,576,0
20160619_FIRE_lp-e-iqeye,2400,0.2499,1519.8,528.4,1567.2,561.3,1600,1200,576,176
20160619_FIRE_om-e-mobo-c,120,0.1884,1007.6,780.3,1024.0,807.3,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,120,0.1623,1007.6,780.3,1024.0,807.2,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,240,0.2409,1009.3,775.6,1024.0,802.5,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,240,0.2211,1009.3,775.7,1024.0,802.5,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,300,0.3726,1009.6,774.4,1024.0,801.8,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,300,0.5340,1009.6,778.0,1036.5,800.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,300,0.1764,1024.0,774.2,1036.4,803.4,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,300,0.3648,1009.5,774.3,1024.0,801.7,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,300,0.5402,1009.6,777.9,1036.6,800.5,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,300,0.1679,1024.0,774.1,1036.5,802.5,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,360,0.4625,1009.7,772.2,1024.0,802.6,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,360,0.7971,1009.6,770.5,1039.4,801.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,360,0.4214,1024.0,770.2,1039.3,799.9,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,360,0.4727,1009.7,772.2,1024.0,802.5,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,360,0.8007,1009.6,770.5,1039.5,801.6,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,360,0.4075,1024.0,770.2,1039.3,799.8,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,420,0.4209,1008.3,770.5,1024.0,801.8,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,420,0.7769,1008.0,769.6,1044.3,800.1,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,420,0.3849,1024.0,769.0,1044.6,791.7,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,420,0.1178,1024.0,769.7,1044.4,808.2,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,420,0.4306,1008.3,770.5,1024.0,801.7,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,420,0.7790,1008.0,769.6,1044.4,800.1,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,420,0.3782,1024.0,768.9,1044.7,791.4,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,420,0.1097,1024.0,769.6,1044.5,807.6,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,480,0.1668,1006.8,773.0,1024.0,802.6,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,480,0.6800,1006.3,768.8,1050.4,794.1,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,480,0.3248,1024.0,768.3,1049.7,785.6,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,480,0.1424,1006.8,773.0,1024.0,802.2,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,480,0.6860,1006.2,768.7,1050.6,794.0,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,480,0.3218,1024.0,768.2,1049.9,785.4,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,540,0.2114,1006.1,766.6,1024.0,799.8,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,540,0.1877,1006.1,766.5,1024.0,799.6,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,600,0.1480,1007.6,762.7,1024.0,801.6,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,600,0.1295,1007.7,762.5,1024.0,801.6,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,660,0.2140,1009.5,760.6,1024.0,802.1,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,660,0.3014,1009.6,768.5,1032.2,801.0,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,660,0.1964,1008.7,767.3,1066.9,799.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,660,0.1379,1009.3,768.1,1043.6,801.0,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,660,0.1676,1024.0,768.5,1067.9,791.5,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,660,0.1976,1009.5,760.5,1024.0,802.1,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,660,0.3016,1009.5,768.4,1032.3,801.0,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,660,0.1959,1008.5,767.2,1066.9,799.8,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,660,0.1383,1009.2,768.1,1043.5,800.9,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,660,0.1509,1024.0,768.3,1067.6,791.2,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,720,0.3093,1009.0,767.4,1024.0,801.3,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,720,0.2461,1008.5,769.0,1039.7,799.2,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,720,0.3077,1009.0,767.5,1024.0,801.2,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,720,0.2398,1008.4,769.0,1039.8,799.1,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,780,0.3303,1008.2,768.1,1024.0,801.6,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,780,0.3278,1007.6,769.8,1039.0,799.1,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,780,0.1059,1007.4,768.6,1054.6,799.1,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,780,0.1566,1038.9,768.2,1081.4,786.4,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,780,0.3251,1008.2,768.1,1024.0,801.5,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,780,0.3106,1007.4,769.8,1039.0,799.0,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,780,0.1131,1045.3,768.2,1081.4,785.9,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,840,0.3244,1008.6,768.9,1024.0,798.8,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,840,0.4107,1007.2,769.7,1039.2,796.9,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,840,0.1195,1024.0,774.8,1031.9,800.4,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,840,0.1094,1024.0,769.9,1033.9,799.4,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,840,0.1074,1024.0,769.1,1037.7,799.5,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,840,0.3215,1008.6,768.9,1024.0,798.6,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,840,0.3934,1007.0,769.7,1039.3,796.8,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,840,0.1129,1024.0,774.6,1032.0,800.1,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,840,0.1036,1024.0,768.9,1037.9,799.2,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,900,0.2504,1009.4,770.0,1024.0,802.4,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,900,0.1925,1007.5,769.4,1040.2,800.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,900,0.1140,1024.1,766.5,1042.2,787.5,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,900,0.2371,1009.4,770.0,1024.0,802.4,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,900,0.1904,1007.4,769.4,1040.2,800.7,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,900,0.1043,1024.1,766.2,1042.3,787.4,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,960,0.4515,1010.1,770.1,1024.0,802.3,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,960,0.4509,1009.5,771.9,1028.0,800.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,960,0.1506,1007.9,770.0,1036.2,800.9,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,960,0.4455,1010.1,770.1,1024.0,802.3,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,960,0.4473,1009.4,771.8,1028.1,800.8,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,960,0.1558,1008.3,770.3,1036.2,800.6,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1020,0.3876,1010.1,768.8,1024.0,801.2,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1020,0.1043,1010.2,749.8,1024.0,801.1,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1020,0.6162,1008.8,770.5,1036.6,799.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1020,0.2705,1024.0,770.3,1037.6,797.1,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1020,0.3943,1010.1,768.8,1024.0,801.1,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1020,0.1011,1010.2,750.2,1024.0,801.0,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1020,0.6171,1008.7,770.5,1036.8,799.6,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1020,0.2618,1024.0,770.2,1037.8,797.0,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1080,0.1767,1009.7,768.1,1024.0,798.7,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1080,0.3261,1007.6,768.4,1042.3,797.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1080,0.1657,1009.8,768.0,1024.0,798.5,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1080,0.2953,1007.4,768.3,1042.3,797.7,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1140,0.2195,1009.0,767.0,1050.4,786.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1140,0.2965,1024.0,766.2,1049.7,786.5,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1140,0.2186,1008.9,766.9,1050.6,786.3,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1140,0.3004,1024.0,766.0,1050.0,786.5,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1200,0.1479,1006.5,759.1,1024.0,799.1,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1200,0.1148,1006.2,771.2,1023.8,800.5,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1200,0.4773,1005.6,763.4,1052.2,796.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1200,0.2318,1024.0,765.4,1052.2,786.9,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1200,0.1270,1006.5,759.0,1024.0,799.1,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1200,0.4741,1005.5,763.3,1052.4,796.5,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1200,0.2254,1024.0,765.1,1052.5,786.9,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1260,0.1222,1006.0,753.5,1023.9,799.4,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1260,0.1949,1003.9,765.4,1057.1,799.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1260,0.1042,1006.1,753.5,1023.9,799.3,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1260,0.1745,1003.8,765.0,1057.2,799.8,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1320,0.2028,1006.6,758.2,1024.0,800.0,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1320,0.1242,1005.1,772.8,1023.5,803.1,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1320,0.2619,1004.6,760.4,1056.6,800.3,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1320,0.2781,1024.1,761.6,1059.2,788.7,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1320,0.1900,1006.6,758.2,1024.0,799.9,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1320,0.1169,1005.1,774.1,1023.5,802.9,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1320,0.2732,1004.4,760.2,1056.9,800.2,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1320,0.2516,1024.0,761.1,1059.1,788.7,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1380,0.4596,1005.4,749.2,1024.0,800.0,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1380,0.2176,1005.0,770.1,1023.8,800.7,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1380,0.5462,1004.6,752.5,1053.9,799.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1380,0.4060,1004.9,753.1,1039.7,799.5,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1380,0.4511,1024.1,759.1,1064.3,788.7,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1380,0.4535,1005.4,749.3,1024.0,800.0,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1380,0.2216,1005.0,770.2,1023.8,800.6,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1380,0.5579,1004.5,752.4,1055.3,799.7,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1380,0.4011,1004.8,753.0,1039.9,799.4,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1380,0.4400,1024.1,758.7,1064.3,788.7,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1440,0.3616,1002.9,747.8,1024.0,799.9,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1440,0.1473,1003.7,773.5,1023.5,801.5,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1440,0.5428,1001.4,750.4,1056.4,800.3,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1440,0.2640,1024.0,748.6,1061.8,788.3,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1440,0.1333,1024.0,767.1,1061.3,788.1,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1440,0.3555,1002.8,747.9,1024.0,799.9,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1440,0.1518,1003.7,773.8,1023.5,801.4,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1440,0.5652,1001.3,750.2,1056.6,800.1,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1440,0.2571,1024.0,748.0,1061.8,788.3,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1440,0.1161,1024.0,766.8,1061.3,788.1,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1500,0.2788,1000.8,742.9,1024.0,800.4,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1500,0.1435,1002.3,770.1,1022.7,800.6,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1500,0.2254,999.9,748.7,1054.4,799.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1500,0.1745,1000.4,764.7,1059.2,799.2,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1500,0.1299,1002.5,776.0,1019.2,799.8,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1500,0.2094,1024.0,754.6,1062.0,789.0,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1500,0.1743,1024.0,766.3,1062.1,788.9,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1500,0.2678,1000.8,742.9,1024.0,800.4,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1500,0.1377,1002.2,770.2,1022.7,800.5,2048,1536,0,512
20160619_FIRE_om-e-mobo-c,1500,0.2444,999.8,751.4,1058.3,800.6,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1500,0.1770,1000.3,764.1,1059.3,799.1,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1500,0.1242,1002.4,776.2,1019.2,799.7,2048,1536,896,512
20160619_FIRE_om-e-mobo-c,1500,0.2005,1024.0,753.0,1062.0,788.9,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1500,0.1516,1024.0,765.9,1062.1,788.8,2048,1536,1024,512
20160619_FIRE_om-e-mobo-c,1560,0.3762,1000.8,745.1,1024.0,800.5,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1560,0.1379,1001.7,768.0,1023.7,800.9,2048,1536,0,0
20160619_FIRE_om-e-mobo-c,1560,0.3989,999.4,751.6,1059.2,800.7,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1560,0.1419,1000.2,753.9,1043.3,800.1,2048,1536,896,0
20160619_FIRE_om-e-mobo-c,1560,0.3643,1024.0,761.0,1061.7,788.8,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1560,0.1009,1024.1,743.3,1059.9,786.9,2048,1536,1024,0
20160619_FIRE_om-e-mobo-c,1560,0.3732,1000.7,745.1,1024.0,800.5,2048,1536,0,512
