sequence,offset,conf,x1,y1,x2,y2,W,H,path
20170807_FIRE_bh-n-mobo-c,420,0.0472,599.5,655.2,622.5,678.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141350_+00420.jpg
20170826_FIRE_tp-s-mobo-c,180,0.0396,1180.3,692.3,1227.9,720.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773113_+00180.jpg
20170826_FIRE_tp-s-mobo-c,240,0.0589,1193.0,692.2,1232.3,717.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773173_+00240.jpg
20170826_FIRE_tp-s-mobo-c,420,0.0243,1177.2,688.9,1236.3,736.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773353_+00420.jpg
20170826_FIRE_tp-s-mobo-c,420,0.0217,1177.5,700.5,1232.6,737.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773353_+00420.jpg
20170927_FIRE_smer-tcs9-mobo-c,540,0.0160,413.5,876.6,483.1,921.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170927_FIRE_smer-tcs9-mobo-c/1506549237_+00540.jpg
20170927_FIRE_smer-tcs9-mobo-c,540,0.0128,1856.0,793.0,1937.0,820.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170927_FIRE_smer-tcs9-mobo-c/1506549237_+00540.jpg
20171021_FIRE_pi-e-mobo-c,60,0.0131,1356.8,672.4,1396.5,705.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171021_FIRE_pi-e-mobo-c/1508616185_+00060.jpg
20171021_FIRE_pi-e-mobo-c,540,0.0285,1530.1,703.3,1585.8,725.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171021_FIRE_pi-e-mobo-c/1508616665_+00540.jpg
20171207_Lilac_rm-s-mobo,0,0.0188,302.1,789.8,381.9,842.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512673984_+00000.jpg
20171207_Lilac_rm-s-mobo,180,0.0310,303.2,789.4,392.0,842.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674164_+00180.jpg
20171207_Lilac_rm-s-mobo,240,0.0723,310.8,816.7,381.0,842.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674224_+00240.jpg
20171207_Lilac_rm-s-mobo,300,0.0733,309.0,809.3,384.0,841.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674284_+00300.jpg
20171207_Lilac_rm-s-mobo,300,0.0303,307.7,792.0,386.6,841.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674284_+00300.jpg
20180517_FIRE_smer-tcs10-mobo-c,0,0.0319,2729.4,761.2,2773.3,811.8,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180517_FIRE_smer-tcs10-mobo-c/1526593799_+00000.jpg
20180517_FIRE_smer-tcs10-mobo-c,360,0.0175,79.1,837.7,134.1,919.9,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180517_FIRE_smer-tcs10-mobo-c/1526594159_+00360.jpg
20180605_FIRE_smer-tcs9-mobo-c,60,0.0700,1567.3,850.4,1613.1,884.9,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231317_+00060.jpg
20180605_FIRE_smer-tcs9-mobo-c,60,0.0650,1566.3,840.0,1628.9,884.9,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231317_+00060.jpg
20180606_FIRE_lo-s-mobo-c,240,0.0176,1100.0,810.3,1156.8,838.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_lo-s-mobo-c/1528304723_+00240.jpg
20180606_FIRE_ml-s-mobo-c,0,0.0285,1168.1,773.0,1186.8,792.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307235_+00000.jpg
20180606_FIRE_pi-e-mobo-c,0,0.0265,1794.1,733.2,1868.2,777.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304045_+00000.jpg
20180606_FIRE_pi-e-mobo-c,420,0.0130,1794.5,736.7,1870.3,776.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304465_+00420.jpg
20180614_FIRE_hp-s-mobo-c,0,0.0122,1156.9,694.6,1246.5,771.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180614_FIRE_hp-s-mobo-c/1529011949_+00000.jpg
20180706_FIRE_wc-e-mobo-c,120,0.0265,1485.3,551.7,1606.6,657.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902000_+00120.jpg
20180706_West_lp-n-mobo-c,240,0.0344,1733.6,1184.9,1903.3,1250.8,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_West_lp-n-mobo-c/1530901921_+00240.jpg
20180706_West_lp-n-mobo-c,240,0.0172,1844.4,1195.3,1903.3,1245.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_West_lp-n-mobo-c/1530901921_+00240.jpg
20180720_Cinnamon_wc-e-mobo-c,420,0.0233,825.4,1088.8,869.6,1139.6,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180720_Cinnamon_wc-e-mobo-c/1532117660_+00420.jpg
20180720_Cinnamon_wc-e-mobo-c,480,0.0240,821.8,1090.5,874.3,1138.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180720_Cinnamon_wc-e-mobo-c/1532117720_+00480.jpg
20180725_Cranston_sp-e-mobo-c,240,0.0151,1397.2,955.1,1499.5,1008.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_Cranston_sp-e-mobo-c/1532545108_+00240.jpg
20180725_Cranston_sp-e-mobo-c,300,0.0171,1409.5,955.1,1495.9,1008.1,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_Cranston_sp-e-mobo-c/1532545168_+00300.jpg
20180725_Cranston_sp-e-mobo-c,360,0.0359,1411.3,955.6,1495.0,1006.3,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_Cranston_sp-e-mobo-c/1532545228_+00360.jpg
20180725_Cranston_sp-e-mobo-c,420,0.0267,1413.1,955.0,1491.1,1003.7,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_Cranston_sp-e-mobo-c/1532545288_+00420.jpg
20180725_Cranston_sp-e-mobo-c,420,0.0130,1396.4,955.1,1494.6,1011.6,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_Cranston_sp-e-mobo-c/1532545288_+00420.jpg
20180726_FIRE_so-w-mobo-c,120,0.0146,638.3,693.4,688.4,729.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180726_FIRE_so-w-mobo-c/1532623523_+00120.jpg
20180726_FIRE_so-w-mobo-c,180,0.0135,642.8,699.1,686.3,730.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180726_FIRE_so-w-mobo-c/1532623583_+00180.jpg
20180726_FIRE_so-w-mobo-c,540,0.0185,643.7,697.2,691.4,729.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180726_FIRE_so-w-mobo-c/1532623943_+00540.jpg
