sequence,offset,conf,x1,y1,x2,y2,W,H,path
20170722_FIRE_so-s-mobo-c,60,0.2619,1023.9,667.3,1083.8,724.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761301_+00060.jpg
20170722_FIRE_so-s-mobo-c,120,0.6578,1076.3,689.2,1104.7,725.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761361_+00120.jpg
20170722_FIRE_so-s-mobo-c,180,0.2896,939.9,601.6,1086.0,730.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761421_+00180.jpg
20170722_FIRE_so-s-mobo-c,180,0.2813,1029.5,672.2,1083.1,725.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761421_+00180.jpg
20170722_FIRE_so-s-mobo-c,180,0.1526,1005.2,671.4,1083.5,727.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761421_+00180.jpg
20170722_FIRE_so-s-mobo-c,180,0.1326,976.6,670.2,1086.0,729.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761421_+00180.jpg
20170722_FIRE_so-s-mobo-c,180,0.1216,950.8,653.1,1083.9,728.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761421_+00180.jpg
20170722_FIRE_so-s-mobo-c,420,0.6768,1067.6,669.5,1120.0,724.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761661_+00420.jpg
20170722_FIRE_so-s-mobo-c,420,0.2253,959.7,589.8,1121.7,729.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170722_FIRE_so-s-mobo-c/1500761661_+00420.jpg
20170807_FIRE_bh-n-mobo-c,120,0.1877,594.9,653.1,631.3,678.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141050_+00120.jpg
20170807_FIRE_bh-n-mobo-c,300,0.2763,600.2,653.3,630.4,678.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141230_+00300.jpg
20170807_FIRE_bh-n-mobo-c,360,0.1227,595.6,654.7,630.4,679.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141290_+00360.jpg
20170807_FIRE_bh-n-mobo-c,480,0.2580,595.3,654.1,629.7,679.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170807_FIRE_bh-n-mobo-c/1502141410_+00480.jpg
20170821_FIRE_lo-s-mobo-c,300,0.0911,1059.0,812.2,1113.5,845.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170821_FIRE_lo-s-mobo-c/1503350303_+00300.jpg
20170821_FIRE_lo-s-mobo-c,360,0.3844,1064.3,818.3,1114.4,849.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170821_FIRE_lo-s-mobo-c/1503350363_+00360.jpg
20170821_FIRE_lo-s-mobo-c,360,0.2003,1045.6,815.9,1114.7,849.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170821_FIRE_lo-s-mobo-c/1503350363_+00360.jpg
20170826_FIRE_tp-s-mobo-c,300,0.1770,1185.1,690.4,1235.2,727.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773233_+00300.jpg
20170826_FIRE_tp-s-mobo-c,300,0.1024,1179.0,692.1,1233.8,735.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773233_+00300.jpg
20170826_FIRE_tp-s-mobo-c,360,0.2644,1176.4,694.8,1235.3,738.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773293_+00360.jpg
20170826_FIRE_tp-s-mobo-c,360,0.1681,1176.8,708.0,1229.9,739.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773293_+00360.jpg
20170826_FIRE_tp-s-mobo-c,360,0.1516,1177.2,714.2,1221.0,739.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773293_+00360.jpg
20170826_FIRE_tp-s-mobo-c,480,0.2685,1176.4,714.1,1221.2,739.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170826_FIRE_tp-s-mobo-c/1503773413_+00480.jpg
20170927_FIRE_smer-tcs9-mobo-c,480,0.2668,422.5,885.4,470.2,919.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20170927_FIRE_smer-tcs9-mobo-c/1506549177_+00480.jpg
20171010_FIRE_rm-e-mobo-c,120,0.1464,268.5,770.4,299.1,786.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672742_+00120.jpg
20171010_FIRE_rm-e-mobo-c,180,0.4469,270.1,761.8,298.9,785.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672802_+00180.jpg
20171010_FIRE_rm-e-mobo-c,180,0.0865,258.9,760.1,299.6,786.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672802_+00180.jpg
20171010_FIRE_rm-e-mobo-c,240,0.6090,259.3,755.7,299.5,789.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672862_+00240.jpg
20171010_FIRE_rm-e-mobo-c,300,0.7733,256.7,754.3,295.4,788.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672922_+00300.jpg
20171010_FIRE_rm-e-mobo-c,360,0.8257,255.9,745.0,297.6,787.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171010_FIRE_rm-e-mobo-c/1507672982_+00360.jpg
20171207_Lilac_rm-s-mobo,60,0.1310,310.5,812.7,366.1,842.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674044_+00060.jpg
20171207_Lilac_rm-s-mobo,60,0.1143,309.6,803.2,373.3,843.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674044_+00060.jpg
20171207_Lilac_rm-s-mobo,60,0.1039,311.6,816.4,351.3,842.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674044_+00060.jpg
20171207_Lilac_rm-s-mobo,120,0.1362,303.3,789.4,381.3,842.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674104_+00120.jpg
20171207_Lilac_rm-s-mobo,360,0.1851,310.8,796.0,392.0,843.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674344_+00360.jpg
20171207_Lilac_rm-s-mobo,360,0.1492,311.7,811.4,389.3,843.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674344_+00360.jpg
20171207_Lilac_rm-s-mobo,480,0.2468,310.2,812.9,386.1,842.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674464_+00480.jpg
20171207_Lilac_rm-s-mobo,480,0.2006,309.7,801.9,390.5,842.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20171207_Lilac_rm-s-mobo/1512674464_+00480.jpg
20180504_FIRE_bh-n-mobo-c,180,0.1754,70.9,845.0,90.6,864.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470610_+00180.jpg
20180504_FIRE_bh-n-mobo-c,240,0.3272,73.2,838.2,104.7,866.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470670_+00240.jpg
20180504_FIRE_bh-n-mobo-c,300,0.2112,70.5,825.5,117.3,865.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470730_+00300.jpg
20180504_FIRE_bh-n-mobo-c,300,0.2041,70.9,835.7,112.8,865.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470730_+00300.jpg
20180504_FIRE_bh-n-mobo-c,360,0.1456,71.5,840.5,116.6,863.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470790_+00360.jpg
20180504_FIRE_bh-n-mobo-c,420,0.2496,69.5,819.3,131.8,864.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470850_+00420.jpg
20180504_FIRE_bh-n-mobo-c,480,0.6678,67.6,812.3,139.0,865.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470910_+00480.jpg
20180504_FIRE_bh-n-mobo-c,540,0.2927,65.4,812.8,144.8,866.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470970_+00540.jpg
20180504_FIRE_bh-n-mobo-c,540,0.2351,68.1,840.2,93.4,865.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470970_+00540.jpg
20180504_FIRE_bh-n-mobo-c,540,0.1429,67.7,835.8,101.5,866.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470970_+00540.jpg
20180504_FIRE_bh-n-mobo-c,540,0.0907,67.2,820.7,118.3,866.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_bh-n-mobo-c/1525470970_+00540.jpg
20180504_FIRE_smer-tcs10-mobo-c,540,0.0965,124.9,858.8,162.4,896.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180504_FIRE_smer-tcs10-mobo-c/1525472339_+00540.jpg
20180522_FIRE_rm-e-mobo-c,0,0.6379,1321.8,739.2,1358.2,775.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180522_FIRE_rm-e-mobo-c/1527023462_+00000.jpg
20180522_FIRE_rm-e-mobo-c,180,0.5720,1319.6,735.3,1353.8,773.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180522_FIRE_rm-e-mobo-c/1527023642_+00180.jpg
20180522_FIRE_rm-e-mobo-c,300,0.4861,1314.1,754.9,1361.7,777.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180522_FIRE_rm-e-mobo-c/1527023762_+00300.jpg
20180522_FIRE_rm-e-mobo-c,360,0.7139,1293.2,736.5,1361.8,777.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180522_FIRE_rm-e-mobo-c/1527023822_+00360.jpg
20180602_FIRE_smer-tcs9-mobo-c,120,0.1746,2466.4,851.9,2512.4,880.6,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978357_+00120.jpg
20180602_FIRE_smer-tcs9-mobo-c,120,0.1029,2452.4,850.1,2519.9,881.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978357_+00120.jpg
20180602_FIRE_smer-tcs9-mobo-c,240,0.6058,2461.5,857.5,2573.4,897.1,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978477_+00240.jpg
20180602_FIRE_smer-tcs9-mobo-c,300,0.7251,2465.8,852.1,2612.5,907.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978537_+00300.jpg
20180602_FIRE_smer-tcs9-mobo-c,540,0.6150,2467.8,825.2,2850.1,917.7,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978777_+00540.jpg
20180602_FIRE_smer-tcs9-mobo-c,540,0.1128,2472.9,840.2,2739.1,917.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978777_+00540.jpg
20180602_FIRE_smer-tcs9-mobo-c,540,0.0889,2722.7,828.0,2843.4,903.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180602_FIRE_smer-tcs9-mobo-c/1527978777_+00540.jpg
20180603_FIRE_sm-w-mobo-c,60,0.6947,1406.5,806.9,1443.6,848.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_sm-w-mobo-c/1528067433_+00060.jpg
20180603_FIRE_sm-w-mobo-c,360,0.7070,1369.2,775.5,1465.5,845.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_sm-w-mobo-c/1528067733_+00360.jpg
20180603_FIRE_sm-w-mobo-c,420,0.8213,1381.9,772.4,1466.3,850.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_sm-w-mobo-c/1528067793_+00420.jpg
20180603_FIRE_sm-w-mobo-c,480,0.7513,1384.8,771.0,1462.8,849.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_sm-w-mobo-c/1528067853_+00480.jpg
20180603_FIRE_sm-w-mobo-c,540,0.5484,1381.5,773.6,1462.5,849.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_sm-w-mobo-c/1528067913_+00540.jpg
20180603_FIRE_smer-tcs9-mobo-c,0,0.1585,2724.7,829.5,2774.0,870.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_smer-tcs9-mobo-c/1528057317_+00000.jpg
20180603_FIRE_smer-tcs9-mobo-c,60,0.3691,2730.4,828.1,2774.6,868.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_smer-tcs9-mobo-c/1528057377_+00060.jpg
20180603_FIRE_smer-tcs9-mobo-c,120,0.4730,2748.7,805.1,2778.8,827.7,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180603_FIRE_smer-tcs9-mobo-c/1528057437_+00120.jpg
20180605_FIRE_smer-tcs9-mobo-c,120,0.6292,1574.1,838.4,1626.7,882.5,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231377_+00120.jpg
20180605_FIRE_smer-tcs9-mobo-c,120,0.1150,1571.0,831.6,1656.0,884.3,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231377_+00120.jpg
20180605_FIRE_smer-tcs9-mobo-c,180,0.3885,1565.7,829.5,1628.1,883.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231437_+00180.jpg
20180605_FIRE_smer-tcs9-mobo-c,180,0.3553,1564.0,820.7,1648.1,884.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231437_+00180.jpg
20180605_FIRE_smer-tcs9-mobo-c,180,0.3099,1565.6,838.2,1612.7,883.2,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231437_+00180.jpg
20180605_FIRE_smer-tcs9-mobo-c,300,0.6626,1568.4,815.4,1644.3,881.5,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231557_+00300.jpg
20180605_FIRE_smer-tcs9-mobo-c,360,0.6823,1564.8,826.6,1628.9,883.5,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231617_+00360.jpg
20180605_FIRE_smer-tcs9-mobo-c,360,0.4197,1562.9,819.0,1644.5,884.3,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180605_FIRE_smer-tcs9-mobo-c/1528231617_+00360.jpg
20180606_FIRE_lo-s-mobo-c,540,0.2787,1095.2,808.8,1161.4,839.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_lo-s-mobo-c/1528305023_+00540.jpg
20180606_FIRE_ml-s-mobo-c,180,0.1860,1169.9,768.3,1192.8,791.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307415_+00180.jpg
20180606_FIRE_ml-s-mobo-c,240,0.4719,1161.7,770.4,1186.3,791.1,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307475_+00240.jpg
20180606_FIRE_ml-s-mobo-c,300,0.2729,1150.5,769.3,1177.8,791.8,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307535_+00300.jpg
20180606_FIRE_ml-s-mobo-c,360,0.1166,1175.6,770.2,1197.1,790.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307595_+00360.jpg
20180606_FIRE_ml-s-mobo-c,360,0.1008,1154.6,767.2,1196.0,791.7,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_ml-s-mobo-c/1528307595_+00360.jpg
20180606_FIRE_pi-e-mobo-c,480,0.3046,1807.1,743.7,1856.7,775.2,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304525_+00480.jpg
20180606_FIRE_pi-e-mobo-c,480,0.2369,1801.0,738.0,1861.5,775.3,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304525_+00480.jpg
20180606_FIRE_pi-e-mobo-c,540,0.5513,1808.7,749.4,1848.5,776.0,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304585_+00540.jpg
20180606_FIRE_pi-e-mobo-c,540,0.1039,1800.4,740.6,1852.3,775.9,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180606_FIRE_pi-e-mobo-c/1528304585_+00540.jpg
20180612_FIRE_smer-tcs9-mobo-c,420,0.6012,1786.7,747.1,1883.7,838.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180612_FIRE_smer-tcs9-mobo-c/1528841577_+00420.jpg
20180706_FIRE_sm-e-mobo-c,120,0.3103,1083.5,822.9,1126.7,848.5,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_sm-e-mobo-c/1530897029_+00120.jpg
20180706_FIRE_wc-e-mobo-c,180,0.3872,2514.3,1021.1,2612.6,1086.1,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902060_+00180.jpg
20180706_FIRE_wc-e-mobo-c,240,0.2549,2526.3,1011.6,2620.0,1084.6,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902120_+00240.jpg
20180706_FIRE_wc-e-mobo-c,300,0.4880,2535.6,1001.2,2634.5,1084.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902180_+00300.jpg
20180706_FIRE_wc-e-mobo-c,360,0.7231,2529.7,985.7,2672.3,1086.7,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902240_+00360.jpg
20180706_FIRE_wc-e-mobo-c,420,0.7639,2522.9,973.2,2683.7,1085.5,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902300_+00420.jpg
20180706_FIRE_wc-e-mobo-c,480,0.7894,2534.6,958.3,2703.0,1086.1,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902360_+00480.jpg
20180706_FIRE_wc-e-mobo-c,540,0.7765,2530.9,938.7,2719.3,1084.0,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_FIRE_wc-e-mobo-c/1530902420_+00540.jpg
20180706_West_lp-n-mobo-c,300,0.1505,1778.5,1189.7,1906.4,1261.6,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_West_lp-n-mobo-c/1530901981_+00300.jpg
20180706_West_lp-n-mobo-c,360,0.6880,1714.0,1170.3,1899.5,1257.5,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180706_West_lp-n-mobo-c/1530902041_+00360.jpg
20180718_FIRE_syp-w-mobo-c,0,0.3274,638.5,776.4,671.3,829.9,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180718_FIRE_syp-w-mobo-c/1531940569_+00000.jpg
20180718_FIRE_syp-w-mobo-c,60,0.5447,638.0,757.5,684.4,830.7,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180718_FIRE_syp-w-mobo-c/1531940629_+00060.jpg
20180718_FIRE_syp-w-mobo-c,540,0.6562,629.2,749.5,776.7,831.3,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180718_FIRE_syp-w-mobo-c/1531941109_+00540.jpg
20180720_FIRE_syp-w-mobo-c,120,0.3707,1528.4,793.4,1560.8,820.4,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180720_FIRE_syp-w-mobo-c/1532121709_+00120.jpg
20180723_FIRE_tp-e-mobo-c,300,0.0843,589.3,715.0,669.9,756.4,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180723_FIRE_tp-e-mobo-c/1532383391_+00300.jpg
20180723_FIRE_tp-e-mobo-c,540,0.8648,549.7,669.6,674.6,751.6,2048,1536,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180723_FIRE_tp-e-mobo-c/1532383631_+00540.jpg
20180725_FIRE_smer-tcs10-mobo-c,180,0.3467,2132.0,1100.6,2514.5,1210.9,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_FIRE_smer-tcs10-mobo-c/1532532059_+00180.jpg
20180725_FIRE_smer-tcs10-mobo-c,180,0.2905,2004.2,1092.3,2514.3,1213.3,3072,2048,/Users/dakshkumar/MilestoneCons-Claude-Proj/smokey/data/figlib/20180725_FIRE_smer-tcs10-mobo-c/1532532059_+00180.jpg
